# GENERATED by build/derive-ipa.py --enc 101 --syllables 1 (CMUdict, General American).
# grapheme = euspelling; ipa = headword pronunciation; gloss = headword.
stelth,stɛlθ,stealth
stenqh,stɛntʃ,stench
straiht,stɹeɪt,straight
straihts,stɹeɪts,straights
stringd,stɹɪŋd,stringed
suht,sut,suit
suqh,sʌtʃ,such
svelt,svɛlt,svelte
swaer,swɛɹ,swear
swerv,swɝv,swerve
swett,swɛt,sweat
sythe,sɪθ,scythe
tahk,tɔk,talk
tauht,tɔt,taught
teaqh,titʃ,teach
tenqh,tɛntʃ,tench
thih,θaɪ,thigh
thihs,θaɪz,thighs
thoh,ðoʊ,though
thoht,θɔt,thought
thohts,θɔts,thoughts
thredd,θɹɛd,thread
thrett,θɹɛt,threat
thruh,θɹu,thru
thumm,θʌm,thumb
tiht,taɪt,tight
toom,tum,tomb
tooms,tumz,tombs
toor,tʊɹ,tour
torq,tɔɹk,torque
torqh,tɔɹtʃ,torch
tredd,tɹɛd,tread
trenqh,tɹɛntʃ,trench
troff,tɹɔf,trough
tu,tu,to
tuff,tʌf,tough
tuffs,tʌfs,toughs
tung,tʌŋ,tongue
tungd,tʌŋd,tongued
tuqh,tʌtʃ,touch
tuwn,taʊn,town
tuwne,taʊn,towne
tuwnes,taʊnz,townes
tuwns,taʊnz,towns
twelv,twɛlv,twelve
twu,tu,two
twus,tuz,twos
uw,oʊ,ow
uwl,aʊl,owl
uwls,aʊlz,owls
uzed,juzd,used
vaghe,veɪɡ,vague
valv,vælv,valve
voghe,voʊɡ,vogue
vouqh,vaʊtʃ,vouch
vuw,vaʊ,vow
waer,wɛɹ,wear
wahk,wɔk,walk
waiv,weɪv,waive
weav,wiv,weave
weer,wiɹ,weir
weerd,wɪɹd,weird
weih,weɪ,weigh
weiht,weɪt,weight
welqh,wɛltʃ,welch
welth,wɛlθ,wealth
welths,wɛlθs,wealths
wer,wɚ,were
whiqh,wɪtʃ,which
wiht,waɪt,wight
winqh,wɪntʃ,winch
wiqh,wɪtʃ,wich
wolvs,wʊlvz,wolves
woodd,wʊd,would
woom,wum,womb
wrenqh,ɹɛntʃ,wrench
wriht,ɹaɪt,wright
wrihts,ɹaɪts,wrights
wroht,ɹɔt,wrought
wun,wʌn,one
wunce,wʌns,once
wuns,wʌnz,ones
wuw,waʊ,wow
wyld,waɪld,wild
yaht,jɑt,yacht
yern,jɝn,yearn
yohk,joʊk,yolk
yohks,joʊks,yolks
yor,jɔɹ,your
yors,jʊɹz,yours
yu,ju,you
yung,jʌŋ,young
yus,jus,yous
yuse,jaʊs,youse
yuth,juθ,youth
yuths,juðz,youths
zilqh,zɪltʃ,zilch
